deal_id,lead_source_channel,lead_source_campaign,created_date,stage,deal_value_usd,is_closed_won,close_date,company_size,segment
D001,paid_search,brand_keywords_q1,2025-01-08,closed_won,18000,1,2025-03-15,50-200,mid_market
D002,linkedin_ads,enterprise_decision_makers,2025-01-12,closed_won,85000,1,2025-04-20,1000+,enterprise
D003,content_syndication,ai_voice_whitepaper,2025-01-15,closed_lost,42000,0,2025-03-28,200-1000,mid_market
D004,events,ces_2025_booth,2025-01-18,closed_won,120000,1,2025-05-10,1000+,enterprise
D005,influencer,tech_youtuber_campaign,2025-01-22,closed_won,8500,1,2025-02-28,10-50,smb
D006,paid_search,competitor_keywords_q1,2025-01-25,closed_lost,15000,0,2025-03-10,50-200,mid_market
D007,paid_search,brand_keywords_q1,2025-01-28,closed_won,22000,1,2025-04-05,200-1000,mid_market
D008,email,nurture_sequence_jan,2025-01-30,closed_won,35000,1,2025-04-18,200-1000,mid_market
D009,linkedin_ads,enterprise_decision_makers,2025-02-05,closed_won,95000,1,2025-05-22,1000+,enterprise
D010,influencer,podcast_sponsorship_feb,2025-02-10,closed_won,12000,1,2025-03-20,50-200,mid_market
D011,paid_search,brand_keywords_q1,2025-02-12,closed_won,19500,1,2025-04-28,50-200,mid_market
D012,content_syndication,api_developer_guide,2025-02-15,closed_won,28000,1,2025-05-15,200-1000,mid_market
D013,paid_search,competitor_keywords_q1,2025-02-18,closed_lost,32000,0,2025-04-02,200-1000,mid_market
D014,influencer,podcast_sponsorship_feb,2025-02-22,closed_won,9500,1,2025-03-30,10-50,smb
D015,display,retargeting_website_visitors,2025-02-25,closed_won,14000,1,2025-04-12,50-200,mid_market
D016,events,sxsw_activation,2025-03-08,closed_won,75000,1,2025-06-05,1000+,enterprise
D017,paid_search,brand_keywords_q1,2025-03-10,closed_won,24000,1,2025-05-20,200-1000,mid_market
D018,linkedin_ads,mid_market_campaign,2025-03-12,closed_lost,38000,0,2025-05-08,200-1000,mid_market
D019,influencer,tech_youtuber_campaign_v2,2025-03-15,closed_won,11000,1,2025-04-22,50-200,mid_market
D020,influencer,tech_youtuber_campaign_v2,2025-03-18,closed_won,7500,1,2025-04-15,10-50,smb
D021,paid_search,competitor_keywords_q1,2025-03-20,closed_won,16500,1,2025-05-28,50-200,mid_market
D022,content_syndication,ai_voice_whitepaper,2025-03-22,closed_won,45000,1,2025-06-10,200-1000,mid_market
D023,email,nurture_sequence_mar,2025-03-25,closed_won,52000,1,2025-06-15,1000+,enterprise
D024,paid_search,brand_keywords_q2,2025-04-05,closed_won,21000,1,2025-06-18,50-200,mid_market
D025,linkedin_ads,enterprise_decision_makers,2025-04-08,negotiation,110000,0,,1000+,enterprise
D026,influencer,podcast_sponsorship_apr,2025-04-12,closed_won,13500,1,2025-06-02,50-200,mid_market
D027,content_syndication,agents_platform_guide,2025-04-15,closed_won,62000,1,2025-06-28,1000+,enterprise
D028,paid_search,competitor_keywords_q2,2025-04-18,qualification,25000,0,,200-1000,mid_market
D029,display,retargeting_website_visitors,2025-04-20,closed_won,16000,1,2025-06-08,50-200,mid_market
D030,email,nurture_sequence_apr,2025-04-22,closed_won,28000,1,2025-06-20,200-1000,mid_market
D031,paid_search,brand_keywords_q2,2025-05-02,demo_scheduled,32000,0,,200-1000,mid_market
D032,linkedin_ads,mid_market_campaign,2025-05-05,closed_won,41000,1,2025-06-25,200-1000,mid_market
D033,events,collision_conference,2025-05-08,negotiation,88000,0,,1000+,enterprise
D034,influencer,tech_youtuber_campaign_v3,2025-05-12,closed_won,9000,1,2025-06-15,10-50,smb
D035,influencer,tech_youtuber_campaign_v3,2025-05-15,demo_scheduled,15000,0,,50-200,mid_market
D036,paid_search,competitor_keywords_q2,2025-05-18,closed_won,19000,1,2025-06-30,50-200,mid_market
D037,content_syndication,agents_platform_guide,2025-05-20,qualification,55000,0,,1000+,enterprise
D038,paid_search,brand_keywords_q2,2025-06-02,demo_scheduled,27000,0,,200-1000,mid_market
D039,linkedin_ads,enterprise_decision_makers,2025-06-05,negotiation,130000,0,,1000+,enterprise
D040,influencer,podcast_sponsorship_jun,2025-06-08,qualification,18000,0,,50-200,mid_market
D041,content_syndication,creative_platform_ebook,2025-06-12,demo_scheduled,48000,0,,200-1000,mid_market
D042,paid_search,competitor_keywords_q2,2025-06-15,qualification,22000,0,,200-1000,mid_market
D043,email,nurture_sequence_jun,2025-06-18,demo_scheduled,65000,0,,1000+,enterprise
D044,display,retargeting_website_visitors,2025-06-20,qualification,12000,0,,50-200,mid_market
D045,paid_search,brand_keywords_q2,2025-06-22,qualification,35000,0,,200-1000,mid_market
